2025-10-06 10:02:02.509 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - --sayHello()
2025-10-06 10:02:02.509 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - --sayHello()
2025-10-06 10:02:02.510 [main] INFO  c.t.t.s.t.a.s.HelloWorldService - --execute()
2025-10-06 10:02:02.510 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --j_execute_le_service_hello()
2025-10-06 10:02:02.510 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++le_resultat_est()
2025-10-06 10:09:44.973 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - Starting CucumberSpringConfiguration using Java 21.0.8 with PID 1035 (started by root in /home/user1/app/springboot-tester/single-module)
2025-10-06 10:09:44.974 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - The following 1 profile is active: "mock"
2025-10-06 10:09:46.421 [main] INFO  c.t.t.s.t.s.i.InfraMockConfiguration - ++myMonAdaptateurMockImpl()
2025-10-06 10:09:46.425 [main] INFO  c.t.t.s.t.s.i.InfraMockConfiguration - --myMonAdaptateurMockImpl()
2025-10-06 10:09:46.490 [main] INFO  c.t.t.s.t.s.i.e.CacheConfig - ++externalServiceCache()
2025-10-06 10:09:46.514 [main] INFO  c.t.t.s.t.s.i.e.CacheConfig - --externalServiceCache()
2025-10-06 10:09:46.807 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-10-06 10:09:47.437 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 14 endpoints beneath base path '/actuator'
2025-10-06 10:09:47.503 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - Started CucumberSpringConfiguration in 2.97 seconds (process running for 3.917)
2025-10-06 10:09:48.341 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++le_service_hello_est_pret()
2025-10-06 10:09:48.341 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --le_service_hello_est_pret()
2025-10-06 10:09:48.345 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++j_execute_le_service_hello()
2025-10-06 10:09:48.345 [main] INFO  c.t.t.s.t.a.s.HelloWorldService - ++execute()
2025-10-06 10:09:48.346 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - ++sayHello()
2025-10-06 10:09:48.346 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - sayHello()
2025-10-06 10:09:48.346 [main] INFO  c.t.t.s.t.s.i.HelloWorldMockAdapter - ++sayHello()
2025-10-06 10:09:48.346 [main] INFO  c.t.t.s.t.s.i.HelloWorldMockAdapter - sayHello()
2025-10-06 10:09:48.346 [main] INFO  c.t.t.s.t.s.i.HelloWorldMockAdapter - --sayHello()
2025-10-06 10:09:48.347 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - --sayHello()
2025-10-06 10:09:48.347 [main] INFO  c.t.t.s.t.a.s.HelloWorldService - --execute()
2025-10-06 10:09:48.347 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --j_execute_le_service_hello()
2025-10-06 10:09:48.348 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++le_resultat_est()
2025-10-06 10:09:48.351 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --le_resultat_est()
2025-10-06 10:14:29.581 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - Starting CucumberSpringConfiguration using Java 21.0.8 with PID 1266 (started by root in /home/user1/app/springboot-tester/single-module)
2025-10-06 10:14:29.584 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - No active profile set, falling back to 1 default profile: "default"
2025-10-06 10:14:31.098 [main] INFO  c.t.t.s.t.s.i.e.CacheConfig - ++externalServiceCache()
2025-10-06 10:14:31.130 [main] INFO  c.t.t.s.t.s.i.e.CacheConfig - --externalServiceCache()
2025-10-06 10:14:31.140 [main] INFO  c.t.t.s.t.s.i.InfraConfiguration - ++myHelloWorldRealAdapter()
2025-10-06 10:14:31.141 [main] INFO  c.t.t.s.t.s.i.InfraConfiguration - --myHelloWorldRealAdapter()
2025-10-06 10:14:31.168 [main] INFO  c.t.t.s.t.s.i.InfraConfiguration - ++myService()
2025-10-06 10:14:31.169 [main] INFO  c.t.t.s.t.s.i.InfraConfiguration - --myService()
2025-10-06 10:14:31.518 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-10-06 10:14:32.146 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 14 endpoints beneath base path '/actuator'
2025-10-06 10:14:32.234 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - Started CucumberSpringConfiguration in 3.146 seconds (process running for 4.082)
2025-10-06 10:14:33.049 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++le_service_hello_est_pret()
2025-10-06 10:14:33.049 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --le_service_hello_est_pret()
2025-10-06 10:14:33.053 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++j_execute_le_service_hello()
2025-10-06 10:14:33.053 [main] INFO  c.t.t.s.t.a.s.HelloWorldService - ++execute()
2025-10-06 10:14:33.053 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - ++sayHello()
2025-10-06 10:14:33.053 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - sayHello()
2025-10-06 10:14:33.054 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - ++sayHello()
2025-10-06 10:14:33.054 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - sayHello()
2025-10-06 10:14:33.054 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - --sayHello()
2025-10-06 10:14:33.054 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - --sayHello()
2025-10-06 10:14:33.054 [main] INFO  c.t.t.s.t.a.s.HelloWorldService - --execute()
2025-10-06 10:14:33.054 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --j_execute_le_service_hello()
